prompt,answer,numeric_label
"premissa: La diputada d’En Comú Podem Marta Sibina retirarà el suport a Sánchez si no soluciona la situació d’Open Arms
hipòtesi: Sánchez podria perdre el suport de Sibina
etiqueta: implicació
----
premissa: Per fer possible que l'esdeveniment sigui un èxit, però, els participants han de tenir en compte una normativa.
hipòtesi: La normativa està detallada en els fulls informatius.
etiqueta: neutre
----
premissa: Renfe recupera el 12 de novembre l’oferta de Rodalies entre València i Castelló
hipòtesi: Renfe suspèn definitivament la línia de Rodalies entre València i Castelló
etiqueta: contradicció
----
premissa: Els subscriptors de VilaWeb debatran aquest dimecres amb el president Torra
hipòtesi: Al debat hi pot assistir tothom que vulgui
etiqueta:",contradicció,2
"premissa: Graupera es reuneix amb partits i entitats independentistes per explorar aliances
hipòtesi: Les aliances són una bona opció per a Graupera
etiqueta: implicació
----
premissa: Les despeses de la Comissió de Control, degudament justificades, correspondran al Pla.
hipòtesi: Les despeses sumen un total de 2000€.
etiqueta: neutre
----
premissa: La Llibreria Catalana de Perpinyà guanya el VII Premi Martí Gasull i Roig a l’exemplaritat en defensa de la llengua
hipòtesi: VII Premi Martí Gasull i Roig queda desert
etiqueta: contradicció
----
premissa: Els tubs catòdics estan caient en desús, ja que a poc a poc les pantalles planes substitueixen a les pantalles de tub catòdic.
hipòtesi: L'ús dels tubs catòdics creix cada dia més.
etiqueta:",contradicció,2
"premissa: Si caic en la batalla venidora, que aquest sigui el meu adéu.
hipòtesi: Properament participarà en una batalla.
etiqueta: implicació
----
premissa: La reobertura de la línia Reus-Roda –prevista per al desviament de mercaderies perilloses- juga un paper clau.
hipòtesi: Es produeixen molts accidents en el transport de mercaderies perilloses.
etiqueta: neutre
----
premissa: El 2016, després d'estudiar cinematografia a Madrid, escrigué i dirigí ""Piña Colada"", el seu primer curtmetratge.
hipòtesi: Abans de començar els seus estudis de cinematografia a Madrid, el 2016 escrigué i dirigí ""Piña Colada"", el seu primer curtmetratge.
etiqueta: contradicció
----
premissa: Ell va ser un dels 7 socis fundadors de la UEC Anoia, l'any 1964.
hipòtesi: L'any 1950 encara no existia la UEC Anoia.
etiqueta:",implicació,0
"premissa: Juro per Déu que sóc això i res més.
hipòtesi: Juro per Déu que no estic amagant res.
etiqueta: implicació
----
premissa: El 470 es va posar malalt i va agafar la mania que era per bruixeria.
hipòtesi: La bruixeria va deixar una empremta important en la cultura popular.
etiqueta: neutre
----
premissa: Europa deixa Sánchez sense excuses per a forçar la llibertat dels presos polítics
hipòtesi: Europa convençuda per l'argumentació de Sánchez sobre els presos polítics
etiqueta: contradicció
----
premissa: Ella va ser la primera, Leticia no serà l'última.
hipòtesi: La primera Leticia era més simpàtica.
etiqueta:",neutre,1
"premissa: Hi ha peres, així que, si no tens gana, no tens per què menjar.
hipòtesi: Quan tinguis gana, pots menjar peres.
etiqueta: implicació
----
premissa: Torrent insisteix que Torra podrà votar al proper ple però no esclareix si el parlament executaria una inhabilitació ferma
hipòtesi: Tothom pendent de la decisió del parlament
etiqueta: neutre
----
premissa: TV3 retira el vídeo d’Empar Moliner enmig dels atacs polítics a la periodista
hipòtesi: TV3 emetrà el vídeo d'Empar Moliner cada dilluns
etiqueta: contradicció
----
premissa: Darrerament anem a eleccions per any, i sembla que de moment el ritme es mantindrà així durant temps: 2010 Generalitat, 2011 municipals, etc.
hipòtesi: Fa quatre anys que no es convoquen eleccions.
etiqueta:",contradicció,2
"premissa: Van ser pensats per tenir una influència en els membres de la tribu i portaria desgràcia als qui no cregut en les seves habilitats.
hipòtesi: No van ser pensats per ser membres insignificants de la tribu.
etiqueta: implicació
----
premissa: La Fundación Ramón Areces recomana que la xifra sol·licitada per a un projecte de 3 anys no superi els 160.000 euros en total.
hipòtesi: La Fundación Ramón Areces és pionera en recerca.
etiqueta: neutre
----
premissa: La mostra també inclou diferents composicions que agrupen multitud de detalls del modernisme que podem observar a Catalunya.
hipòtesi: La mostra manca de composicions amb nombrosos detalls del modernisme a Catalunya.
etiqueta: contradicció
----
premissa: Al sortir d'aquesta població la columna fou traïda pel guia que la va portar a un lloc de selva espessa on fou atacada pels bambares.
hipòtesi: A l'entrar en aquesta població la columna fou atesa pel guia que la va portar a un lloc de selva espessa on fou atacada pels bambares.
etiqueta:",contradicció,2
"premissa: La defensa d’Homs denuncia que s’està fent un judici polític
hipòtesi: Homs està acusat 
etiqueta: implicació
----
premissa: La CUP proposa Eulàlia Reguant per a substituir Josep Garganté a Barcelona
hipòtesi: Reguant està contenta amb la proposta
etiqueta: neutre
----
premissa: I ara giren els ulls a la darrera explosió de l'odi del món contra Jesús.
hipòtesi: El cristianisme mai ha tingut enemics.
etiqueta: contradicció
----
premissa: L'activitat ofereix molts espais de participació activa on els infants exploren, experimenten i descobreixen instruments, ritmes i sons.
hipòtesi: L'activitat permet que els petits participin de manera activa i pràctica per descobrir animals, hàbitats i alimentacions.
etiqueta:",contradicció,2
"premissa: Especialment en xarxes socials, es veta que les dones puguin ensenyar els mugrons, a diferència dels homes, i se censuren aquestes publicacions.
hipòtesi: Les xarxes socials discriminen les dones. 
etiqueta: implicació
----
premissa: El Brexit dispara l’independentisme gal·lès fins al 41% dels vots en un referèndum
hipòtesi: De moment no hi ha previst de fer un referèndum
etiqueta: neutre
----
premissa: Gaspar Llamazares es dóna de baixa com a militant d’Esquerra Unida
hipòtesi: Llamazares continua al seu partit polític
etiqueta: contradicció
----
premissa: Compromís compleix deu anys amb l’objectiu de renovar el valencianisme
hipòtesi: Compromís segueix implicat amb el valencianisme
etiqueta:",implicació,0
"premissa: Així vàrem decidir organitzar un seminari per confeccionar el currículum d'aquesta hora setmanal a l'aula d'informàtica.
hipòtesi: Diverses persones vam definir el currículum d'aquesta hora setmanal.
etiqueta: implicació
----
premissa: Referent als premis atorgats per AECORK, els guardonats d'enguany, corresponents al 2012, han estat: SEDLESCOMBE BIODYNAMIC WINES OF ENGLAND, Sr.
hipòtesi: AECORK atorga premis cada any.
etiqueta: neutre
----
premissa: El PSPV guanyaria les eleccions i podria governar amb Compromís, segons el CIS
hipòtesi: Segons la previsió del CIS el PSPV podrà formar govern en solitari
etiqueta: contradicció
----
premissa: En aquesta època es va establir l'escola en un local arrendat, en què acudien entre 70 i 80 alumnes.
hipòtesi: En aquesta època, els 70 o 80 alumnes es repartien entre els dos barracons que s'havien comprat per muntar l'escola.
etiqueta:",contradicció,2
"premissa: Mirada Palestina és un llibre que intenta explicar el conflicte Israel-Palestina a través de les fotografies d'algunes de les nostres brigadistes.
hipòtesi: Les fotografies de Mirada Palestina il·lustren el conflicte entre Israel i Palestina.
etiqueta: implicació
----
premissa: El pes de les exportacions supera el pes del PIB al Principat i el País Valencià
hipòtesi: Les dades de les exportacions conviden a l'optimisme
etiqueta: neutre
----
premissa: Armengol aconsegueix finalment de tancar per mar i aire les Illes
hipòtesi: Armengol fracassa en el seu intent de tancar les Balears
etiqueta: contradicció
----
premissa: Cap a les 18.40 hores, hi havia molts incidents a l'entorn de la plaça Catalunya, amb desperfectes en molts establiments comercials.
hipòtesi: Cap a les 18.40 hores, hi havia molta tranquil·litat a l'entorn de la plaça Catalunya, i molts establiments comercials rene plens a vessar.
etiqueta:",contradicció,2
"premissa: En geometria, el bicorn és una corba quàrtica racional és definida per l'equació
hipòtesi: El bicorn no és una corba irracional.
etiqueta: implicació
----
premissa: A principis de maig La Vanguardia tindrà una edició en català.
hipòtesi: L'edició digital de La Vanguardia s'actualitza sovint.
etiqueta: neutre
----
premissa: Jo puc parlar de la meva experiència, com a editor de llibres de ciència, i puc parlar només d'aquest sector.
hipòtesi: Puc aprendre de la teva experiència com a editor de llibres de ciència.
etiqueta: contradicció
----
premissa: Els que viuen a baix sí que són vampirs.
hipòtesi: Més amunt dels vampirs hi viu una altra gent.
etiqueta:",implicació,0
"premissa: Obama felicita Clinton per aconseguir els delegats necessaris per obtenir la nominació a la Casa Blanca
hipòtesi: Clinton més a prop de poder ser nominada a la Casa Blanca
etiqueta: implicació
----
premissa: La consellera d'Esports ha explicat que ja compta amb el projecte per estudiar la viabilitat de la construcció d'un patinòdrom a l'interior del velòdrom.
hipòtesi: El velòdrom està situat al costat de l'estació de metro de Mundet.
etiqueta: neutre
----
premissa: Dissabte dia 16 de setembre tindrà lloc la 2a Mostra de cervesa artesana, el Mar de Birres, a l'estenedor de les xarxes de Palamós.
hipòtesi: Dissabte, dia 16 de setembre, a Palamós tindrà lloc la 2a Mostra de formatges artesans.
etiqueta: contradicció
----
premissa: El parlament de les Illes retira el llaç groc de la seva façana després del requeriment de la junta electoral
hipòtesi: S'ha retirat aquest matí el llaç groc de la façana del parlament de les Illes
etiqueta:",neutre,1
"premissa: Dit això dels Telegrama, posats a recuperar llegendes del rock badaloní, tant de bo que també es pogués gaudir d'un CD recopilatori dels Flai Tunai.
hipòtesi: Els Flai Tunai formen part de les llegendes del rock badaloní.
etiqueta: implicació
----
premissa: La composició d'aquest òrgan serà de 3 persones, que formen part del Comitè d'Avaluació, i amb la següent representació:
hipòtesi: El comitè d'Avaluació renova la seva plantilla anualment.
etiqueta: neutre
----
premissa: En principi el tècnic de l'IHC, Joan Carles, podrà comptar amb David Busquets, Raül Pelicano i Ton Baliu pel partit d'aquest...
hipòtesi: Joan Carles, tècnic de l'IHC, lamenta la baixa de David Busquets, Raül Pelicano i Ton Baliu per al partit.
etiqueta: contradicció
----
premissa: Joan Coma demana als mossos que desobeeixin l’ordre del jutge de detenir-lo, però que si ho fan no se’ls criminalitzin
hipòtesi: El jutge va manar que s'arrestés a Joan Coma
etiqueta:",implicació,0
"premissa: Sempre és allà i sempre continuarà inspirant la humanitat, va dir Maezawa durant l'acte de presentació.
hipòtesi: Els assistents a la presentació van poder escoltar les paraules de Maezawa.
etiqueta: implicació
----
premissa: L’Iran assegura que un dels petroliers capturats va xocar amb un pesquer
hipòtesi: El capità d'un dels vaixells no entén el motiu de la captura
etiqueta: neutre
----
premissa: Budó vol que Puigdemont encapçali la llista de JxCat a les eleccions
hipòtesi: Budó desitja que Puigdemont abandoni la política
etiqueta: contradicció
----
premissa: El va succeir el seu germà Amr ibn al-Layth.
hipòtesi: Té com a mínim un germà.
etiqueta:",implicació,0
"premissa: Ateses les funcions encomanades a aquesta Subdirecció General es considera convenient que passi a denominar se Subdirecció General de Supervisió de Contruccions Escolars i Equipaments Educatius.
hipòtesi: La denominació d'aquesta Subdirecció General es modifica perquè reflecteixi les funcions que li corresponen.
etiqueta: implicació
----
premissa: Obligatòriament s'haurà d'identificar les obres amb el número d'identificació donat en el registre a la Fotolliga de cadascun dels participants.
hipòtesi: El número d'identificació consta de sis dígits.
etiqueta: neutre
----
premissa: Millo, Zoido i Moragas tornen a plantar la comissió d’investigació del 155
hipòtesi: Millo, Zoido i Moragas planten la comissió del 155 per primera vegada
etiqueta: contradicció
----
premissa: Darreries (Postrimerías)..- Són les realitats últimes a les quals l'ésser humà s'aboca al final de la vida.
hipòtesi: Ningú pot predir quant durarà l'etapa del final de la vida.
etiqueta:",neutre,1
"premissa: El pas de 1956 és obra de Jaume Satorras i consta de cinc talles de fusta policromada que representa el moment de la detenció de Jesús.
hipòtesi: Jaume Satorras va ser un escultor que treballava la fusta.
etiqueta: implicació
----
premissa: El congrés nord-americà aprova de portar el procés de destitució contra Trump al senat
hipòtesi: Trump es troba novament immers en un procés de destitució
etiqueta: neutre
----
premissa: El fiscal Pedro Horrach abandona Anticorrupció per dedicar-se a l’advocacia
hipòtesi: Pedro Horrach nou cap de la fiscalia Anticorrupció
etiqueta: contradicció
----
premissa: L’Audiència de Barcelona revoca les mesures cautelars contra en Guillem, el jove de la dessuadora carabassa
hipòtesi: Barcelona s'ha omplert de joves amb dessuadores carabassa en suport d'en Guillem
etiqueta:",neutre,1
"premissa: Quan es girava una, ho havíem de fer totes.
hipòtesi: Estàvem pendents de quan ens tocava girar-nos.
etiqueta: implicació
----
premissa: No s'ha fet un canvi radical a banda d'alguns bucles circulatoris, matisa Sílvia Casorran.
hipòtesi: Silvia Casorran fa broma amb la inseguretat ciutadana.
etiqueta: neutre
----
premissa: Aquesta tècnica, iniciada per Leonardo da Vinci, va arribar al seu màxim desenvolupament en la pintura barroca.
hipòtesi: Leonardo da Vinci va iniciar una tècnica que es va desenvolupar plenament en la pintura expressionista.
etiqueta: contradicció
----
premissa: A l'adolescència va canalitzar les seves inquietuds cap a altres causes com la col·laboració amb Amnistia Internacional i, després, va venir la política.
hipòtesi: L'adolescència és una etapa de la vida de les persones on es comencen a perfilar la personalitat i les opinions vers allò que ens envolta.
etiqueta:",neutre,1
"premissa: El Suprem avala l’argúcia de la JEC per a retirar l’escó al president Torra
hipòtesi: La JEC va fer un joc de mans per aconseguir deixar a Torra sense escó
etiqueta: implicació
----
premissa: Les enciclopèdies solen definir la gihad com el combat contra infidels i apòstates en nom de Déu.
hipòtesi: La gihad ocupa moltes pàgines de les enciclopèdies. 
etiqueta: neutre
----
premissa: Si algun nano parlava en català li fotien un cop de culata de fusell als peus.
hipòtesi: Es respectava que els nens parlessin en català.
etiqueta: contradicció
----
premissa: Colau assegura que l’acord amb el govern garanteix el dret de vot i la seguretat dels funcionaris
hipòtesi: L'acord amb el govern garanteix la seguretat dels nous funcionaris 
etiqueta:",neutre,1
"premissa: Mira, si estàs pensant en robar li a en Kai Proctor, val més que busquis una arma i et foradis el cap tu mateix.
hipòtesi: Si et planteges la possibilitat de robar-li en Kai Proctor, és millor que et suïcidis.
etiqueta: implicació
----
premissa: El quart classificat ha marxat al vestidor amb dos gols a favor, però ala represa els graciencs han aconseguit empatar amb dianes d'Óscar Muñoz i Rovira.
hipòtesi: Juguen a encertar en la diana.
etiqueta: neutre
----
premissa: A l'hora d'adquirir la joguina el que més importa són les garanties de seguretat i no tan el lloc de procedència o fabricació.
hipòtesi: Abans de comprar una joguina, cal saber sobretot on s'ha fabricat i en quines condicions.
etiqueta: contradicció
----
premissa: Per això ha fet una petició a separar-ho, sent conscient que un govern dialogant a La Moncloa seria un pas de gegant.
hipòtesi: Per això ha demanat separar-ho, sent conscient que un govern dialogant a La Moncloa seria inconcebible.
etiqueta:",contradicció,2
"premissa: Per tant, va condemnar la venedora a tornar el doble de la quantitat lliurada i va declarar nul el contracte de compra.
hipòtesi: La irregularitat en el procés de compravenda va comportar una condemna per a la part venedora.
etiqueta: implicació
----
premissa: S'informa de que la PAH Cardedeu ha aconseguit la seva primera dació en pagament.
hipòtesi: Els propietaris negocien amb el creditor la dació en pagament.
etiqueta: neutre
----
premissa: Dolors Bassa, aïllada a Puig de les Basses perquè té símptomes del coronavirus
hipòtesi: Descarten que Dolors Bassa pugui estar infectada pel Covid-19
etiqueta: contradicció
----
premissa: La sensació que no es protegeixen els drets socials, la creixent desigualtat i també la incapacitat d'acollir adequadament les persones, qüestions plantejades pel públic
hipòtesi: El públic va plantejar diversos temes socials.
etiqueta:",implicació,0
